0,428,331
0,92,45
92,1237,2
92,1287,196
92,341,116
92,1188,35
92,469,11
92,570,3
92,581,26
92,1368,43
92,517,12
92,108,10
92,1845,76
92,106,89
92,1337,119
92,96,14
92,1838,11
92,692,11
92,386,19
92,212,57
92,567,51
92,1263,108
92,930,1
92,1107,46
92,197,98
92,369,237
92,195,126
92,1881,15
92,309,56
92,995,40
92,363,40
92,603,11
92,725,62
92,856,14
92,488,135
92,1086,136
92,359,32
92,485,9
92,480,9
92,1178,9
92,1104,64
92,1297,586
92,1354,55
92,842,8
92,26,75
92,6,74
92,0,2
428,979,11
428,1630,20
428,1151,18
428,471,320
428,470,79
428,1910,15
428,1664,64
428,1876,21
428,467,582
428,933,55
428,1356,52
428,1628,68
428,1014,221
428,698,148
428,461,23
428,1179,192
428,459,74
428,1659,39
428,1137,147
428,602,26
428,886,24
428,457,30
428,1904,36
428,1903,13
428,873,10
428,1405,7
428,751,157
428,451,25
428,962,45
428,690,17
428,1502,132
428,1651,9
428,1170,7
428,1896,43
428,688,98
428,958,18
428,1166,64
428,953,23
428,444,16
428,1644,21
428,1850,83
428,677,48
428,441,190
428,1727,41
428,928,182
428,857,28
428,1161,5
428,437,9
428,1883,19
428,1210,7
428,1695,8
428,1149,11
428,1157,94
428,1374,231
428,1155,29
428,1763,174
428,1538,33
428,1154,78
428,1371,33
428,931,39
428,1007,20
428,1232,143
428,540,36
428,1365,65
428,656,138
428,1620,8
428,1619,31
428,700,4
428,654,181
428,1124,20
428,176,201
428,1142,300
428,919,16
428,828,93
428,1478,24
428,665,11
428,1138,53
428,1135,18
428,784,138
428,1540,19
428,647,14
428,1434,26
428,645,53
428,1609,4
428,1105,30
428,641,68
428,1648,14
428,903,17
428,1643,91
428,1127,93
428,1056,25
428,1598,16
428,1341,36
428,1340,42
428,1844,62
428,1263,108
428,36,276
428,1593,368
428,391,86
428,1591,9
428,12,9
428,1836,29
428,628,220
428,1245,130
428,1423,83
428,1414,127
428,1113,35
428,913,72
428,1584,14
428,1829,148
428,1109,38
428,1496,41
428,1680,88
428,884,23
428,881,58
428,880,137
428,1102,60
428,1320,416
428,1821,278
428,821,65
428,1571,12
428,1739,280
428,1807,101
428,868,199
428,1566,24
428,843,37
428,865,1
428,1555,116
428,889,14
428,1313,63
428,818,28
428,1563,25
428,1811,103
428,805,37
428,1765,56
428,954,21
428,1304,83
428,1557,186
428,852,39
428,1301,55
428,851,20
428,669,200
428,1550,14
428,1297,586
428,915,11
428,1797,14
428,1239,19
428,1681,56
428,1787,173
428,1786,38
428,1287,196
428,1785,37
428,1140,56
428,1068,208
428,827,68
428,551,36
428,577,130
428,823,109
428,1065,13
428,1280,102
428,447,23
428,1483,18
428,1526,14
428,1274,41
428,1061,20
428,1275,40
428,1293,26
428,1273,8
428,567,51
428,1271,13
428,565,58
428,1269,65
428,807,35
428,806,170
428,1308,68
428,573,13
428,560,177
428,1265,39
428,555,23
428,1513,35
428,1666,112
428,1259,384
428,1758,394
428,549,46
428,733,33
428,1754,58
428,486,43
428,905,112
428,757,26
428,787,11
428,1249,115
428,422,105
428,536,82
428,524,52
428,1290,33
428,1742,60
428,533,32
428,1490,31
428,530,164
428,781,219
428,1485,34
428,777,232
428,1734,69
428,1238,13
428,1733,74
428,1267,39
428,481,4
428,775,11
428,1408,106
428,1026,30
428,520,38
428,1476,597
428,767,55
428,1022,19
428,1724,32
428,1473,24
428,717,168
428,764,44
428,1721,275
428,1484,41
428,761,15
428,589,66
428,254,38
428,507,47
428,506,11
428,1464,21
428,755,9
428,1224,36
428,1231,6
428,763,26
428,1660,475
428,1459,16
428,1219,22
428,1621,198
428,1641,11
428,455,260
428,1004,50
428,1003,12
428,743,95
428,497,20
428,1701,53
428,623,32
428,785,44
428,1377,22
428,494,104
428,1692,19
428,493,76
428,1691,21
428,275,126
428,1688,19
428,491,73
428,489,56
428,1433,184
428,1541,78
428,718,9
428,608,108
428,1679,7
428,1418,9
428,987,23
428,1426,100
428,816,40
428,984,100
428,1194,78
428,1422,206
428,425,49
428,424,71
428,423,33
428,1662,96
428,409,62
428,1547,14
428,407,40
428,403,39
428,395,39
428,372,48
428,369,237
428,358,83
428,339,13
428,338,33
428,337,41
428,335,51
428,327,32
428,323,45
428,319,76
428,315,148
428,313,16
428,305,279
428,299,17
428,298,44
428,290,590
428,289,41
428,287,353
428,267,120
428,264,43
428,260,112
428,257,19
428,249,46
428,248,20
428,240,6
428,222,27
428,341,116
428,1012,85
428,197,98
428,193,24
428,192,22
428,188,266
428,183,20
428,163,67
428,162,41
428,161,44
428,141,106
428,140,5
428,139,103
428,136,7
428,134,45
428,127,767
428,124,42
428,117,28
428,116,99
428,103,351
428,86,69
428,74,26
428,67,454
428,61,74
428,59,143
428,50,23
428,43,27
428,41,12
428,38,39
428,35,216
428,3,58
428,0,2
1,1475,23
1,1026,30
1,933,55
1,1666,112
1,1147,216
1,689,142
689,1543,137
689,1793,24
689,1040,62
689,838,24
689,1875,5
689,1279,84
689,1789,17
689,1638,24
689,1256,80
689,1663,15
689,1537,19
689,1140,56
689,1628,68
689,1292,14
689,696,45
689,1565,15
689,1367,80
689,1778,18
689,1398,15
689,1274,41
689,584,18
689,1896,43
689,1522,44
689,1270,25
689,769,120
689,1308,68
689,275,126
689,1850,83
689,928,182
689,1800,41
689,1762,32
689,1511,54
689,1666,112
689,1631,135
689,1374,231
689,1507,72
689,520,38
689,1047,40
689,1476,597
689,1501,41
689,1320,416
689,1872,53
689,1365,65
689,1142,300
689,1619,31
689,975,28
689,1144,28
689,1245,130
689,1177,92
689,1104,64
689,828,93
689,1138,53
689,1353,21
689,1078,56
689,784,138
689,1733,74
689,1724,32
689,1767,67
689,524,52
689,1275,40
689,698,148
689,905,112
689,1739,280
689,765,32
689,1122,17
689,1121,62
689,36,276
689,1525,30
689,1231,6
689,176,201
689,726,69
689,1224,36
689,752,35
689,1660,475
689,1113,35
689,1513,35
689,1829,148
689,144,6
689,1154,78
689,1851,34
689,743,95
689,609,46
689,1742,60
689,1312,54
689,777,232
689,1861,24
689,1433,184
689,970,38
689,778,19
689,717,168
689,1555,116
689,1758,394
689,391,86
689,1297,586
689,1524,57
689,1422,206
689,708,31
689,654,181
689,631,34
689,622,51
689,590,44
